System,AYUSH Name,AYUSH Code,ICD-11 TM2 Code,ICD-11 TM2 Name
Unani,Zeeabetus Shakri (diabetes mellitus),UN-13,5A11,Type 2 diabetes mellitus
Unani,Shara (eczema/skin rash),UN-14,ED10,Eczema
Unani,Bars (vitiligo),UN-15,ED20,Vitiligo
Unani,Juzam (leprosy),UN-16,1B60,Leprosy
Unani,Nisyan (amnesia/forgetfulness),UN-17,6D70,Memory disorder
Unani,Sara (epilepsy),UN-18,8A60,Epilepsy
Unani,Suda (headache),UN-19,MG30,Headache
Unani,Waja-ul-Mafasil (arthritis/joint pain),UN-20,FA20,Arthritis
Unani,Niqris (gout),UN-21,FA24,Gout
Unani,Istisqa (ascites),UN-22,SD70,Ascites
Unani,Faqr-ud-Dam (anaemia),UN-23,3A00,"Anaemia, unspecified"
Unani,Sarsam (meningitis),UN-24,1F40,Meningitis
Unani,Shuqquq-ul-Baul (dysuria),UN-25,GC80,Painful urination
Unani,Hissah (urinary stone),UN-26,GB60,Urinary calculus
Unani,Tashannuj (convulsions),UN-27,8A60,Seizures
Unani,Khafqan (palpitation/heart disease),UN-28,BA00,"Heart disease, unspecified"
Unani,Dau-ul-Kalb (heart failure),UN-29,BD10,Heart failure
Unani,Dau-us-Sada (migraine),UN-30,8A80,Migraine
Unani,Sarsam Dimagh (encephalitis/brain inflammation),UN-31,1F41,Encephalitis
Unani,Sharah Dimagh (brain tumor),UN-32,2A20,Brain neoplasm
Unani,Dau-ul-Am誕 (colitis/IBD),UN-33,DA40,Colitis
Unani,Dau-ul-Basr (eye disease/vision loss),UN-34,9D90,Vision disorder
Unani,Dau-us-Sama (hearing disorder),UN-35,MA80,Hearing loss
Unani,Tashannuj Rehi (respiratory spasm),UN-36,MD30,Dyspnoea/spasm
Unani,Dau-ul-Kabad (liver disorder),UN-37,SD20,Liver disease
Unani,Dau-ul-Tihal (spleen disorder),UN-38,SD30,Spleen disorder
Unani,Hummay Musalsala (malaria/relapsing fever),UN-39,1F40,Malaria
Unani,Tanoon (tonsillitis),UN-40,CA20,Tonsillitis
Siddha,Vali Noi (Vﾄ》a disorder),SD-A01,RA02.00,Vﾄ》a disorder (TM2)
Siddha,Azhal Noi (Pitta disorder),SD-A02,RA02.10,Pitta disorder (TM2)
Siddha,Iyyam Noi (Kapha disorder),SD-A03,RA02.20,Kapha disorder (TM2)
Siddha,Mukkutram Noi (Trido?a  disorder),SD-A04,RA02.30,Trido盪｣a disorder (TM2)
Siddha,Vali K?l V?yu (Rheumatism/Arthritis),SD-B10,SP20,Arthritis disorder
Siddha,Azhal Kuttram (Fever of pitta origin),SD-C05,6A80,"Fever, unspecified"
Siddha,Iyyam Eraippu Noi (Asthma / Dyspnoea),SD-D07,SL40,Bronchial asthma
Siddha,Karappan (Eczema/dermatitis),SD-E11,ED23,Atopic dermatitis
Siddha,Kuruthi Vettai Noi (Hypertension),SD-F08,BA00,"Hypertension, unspecified"
Siddha,Neerizhivu Noi (Diabetes mellitus),SD-F09,5A11,Type 2 diabetes mellitus
Siddha,Piththak Kﾄ［ala Noi (Jaundice),SD-G12,SD23,Hepatitis / Jaundice disorder
Siddha,Gunmam Noi (Peptic ulcer/Gastritis),SD-G05,SC71.0,Epigastric discomfort due to liver-stomach disharmony
Siddha,Kazhichchal Noi (Diarrhoea),SD-G08,SA51.0,Spleen deficiency with Dampness pattern
Siddha,Moola Noi (Haemorrhoids),SD-G15,SA61.2,Damp-heat in Large Intestine pattern
Siddha,Vaippu Noi (Tuberculosis),SD-H02,1B10,Pulmonary tuberculosis
Siddha,Venkuttam (Leucoderma/Vitiligo),SD-J03,ED20,Vitiligo
Siddha,"Ammai (Smallpox, historical)",SD-K01,1C10,Smallpox (archived ICD)
Siddha,Suram (Fever),SD-L01,6A80,"Fever, unspecified"
Siddha,Irumal Noi (Cough disorder),SD-M02,MD12,Cough disorder
Siddha,Soothaga Soolai (Dysmenorrhea),SD-N01,SF21,Qi and Blood stagnation pattern
